Day; Month; Year; Hour; Minute; Second; Temp. Air 1;Temp. Water 1;Temp. Water 2;Temp. Water 3 
2;9;2022;11;2;40;20.6875;21;20.9375;20.8125
2;9;2022;11;2;43;20.6875;21;20.9375;20.8125
2;9;2022;11;2;46;20.6875;21;20.9375;20.8125
2;9;2022;11;2;49;20.6875;21;20.9375;20.8125
2;9;2022;11;2;52;20.6875;21;20.9375;20.8125
2;9;2022;11;2;55;20.6875;21;20.9375;20.8125
2;9;2022;11;2;58;20.6875;21;20.9375;20.8125
2;9;2022;11;3;1;20.6875;21;21;20.8125
2;9;2022;11;3;4;20.6875;21;20.9375;20.8125
2;9;2022;11;3;7;20.6875;21;20.9375;20.8125
2;9;2022;11;3;10;20.6875;21;20.9375;20.8125
2;9;2022;11;3;13;20.6875;21;20.9375;20.8125
2;9;2022;11;3;16;20.6875;21;20.9375;20.8125
2;9;2022;11;3;19;20.6875;21;20.9375;20.875
2;9;2022;11;3;22;20.6875;21;20.9375;20.8125
2;9;2022;11;3;25;20.6875;21;20.9375;20.8125
2;9;2022;11;3;28;20.6875;21;20.9375;20.8125
2;9;2022;11;3;31;20.6875;21.0625;20.9375;20.875
2;9;2022;11;3;34;20.6875;21.0625;21;20.875
2;9;2022;11;3;37;20.6875;21.0625;21;20.875
2;9;2022;11;3;40;20.75;21.0625;21;20.875
2;9;2022;11;3;43;20.6875;21.0625;21;20.875
2;9;2022;11;3;46;20.75;21.0625;21;20.875
2;9;2022;11;3;49;20.75;21.0625;21;20.875
2;9;2022;11;3;52;20.75;21.0625;21;20.875
2;9;2022;11;3;55;20.75;21.0625;21;20.9375